name,description,url
Efficient-AI-Backbones,"Efficient AI Backbones including GhostNet, TNT and MLP, developed by Huawei Noah's Ark Lab.",https://github.com/huawei-noah/Efficient-AI-Backbones
AI,"The ultimate list of resources to teach yourself how to use the latest AI tools, frameworks, and ideas.",https://github.com/emmethalm/AI
jupyter-ai,A generative AI extension for JupyterLab,https://github.com/jupyterlab/jupyter-ai
aiyprojects-raspbian," API libraries, samples, and system images for AIY Projects (Voice Kit and Vision Kit)",https://github.com/google/aiyprojects-raspbian
openui,"OpenUI let's you describe UI using your imagination, then see it rendered live.",https://github.com/wandb/openui
TaskingAI,The open source platform for AI-native application development.,https://github.com/TaskingAI/TaskingAI
cofounder,"ai-generated apps , full stack + generative UI",https://github.com/raidendotai/cofounder
h5ai,"HTTP web server index for Apache httpd, lighttpd and nginx.",https://github.com/lrsjng/h5ai
aimet,AIMET is a library that provides advanced quantization and compression techniques for trained neural network models.,https://github.com/quic/aimet
panda,code powering the comma.ai panda,https://github.com/commaai/panda
ML-YouTube-Courses,📺 Discover the latest machine learning / AI courses on YouTube.,https://github.com/dair-ai/ML-YouTube-Courses
aws-serverless-airline-booking,"Airline Booking is a sample web application that provides Flight Search, Flight Payment, Flight Booking and Loyalty points including end-to-end testing, GraphQL and CI/CD. This web application was the theme of Build on Serverless Season 2 on AWS Twitch running from April 24th until end of August in 2019.",https://github.com/aws-samples/aws-serverless-airline-booking
ai,,https://github.com/Marshakut8dy9lWfi33i1dnynn/ai
air-conditioner,❄️ Yun Portable Air Conditoner. 云空调，便携小空调，为你的夏日带去清凉！,https://github.com/YunYouJun/air-conditioner
aimeos,"Integrated online shop based on Laravel 11 and the Aimeos e-commerce framework for ultra-fast online shops, scalable marketplaces, complex B2B applications and #gigacommerce",https://github.com/aimeos/aimeos
yousan.ai,Awesome resources of yousan.ai(closely related to deep learning).,https://github.com/longpeng2008/yousan.ai
aiva,AIVA (A.I. Virtual Assistant): General-purpose virtual assistant for developers.,https://github.com/kengz/aiva
AI_Curriculum,"Open Deep Learning and Reinforcement Learning lectures from top Universities like Stanford, MIT, UC Berkeley.",https://github.com/Machine-Learning-Tokyo/AI_Curriculum
ai-getting-started,"A Javascript AI getting started stack for weekend projects, including image/text models, vector stores, auth, and deployment configs",https://github.com/a16z-infra/ai-getting-started
OpenAI,Swift community driven package for OpenAI public API,https://github.com/MacPaw/OpenAI
feast,The Open Source Feature Store for AI/ML,https://github.com/feast-dev/feast
god-level-ai,"A collection of scientific methods, processes, algorithms, and systems to build stories & models.",https://github.com/hemansnation/god-level-ai
interviews.ai,"It is my belief that you, the postgraduate students and job-seekers for whom the book is primarily meant will benefit from reading it; however, it is my hope that even the most experienced researchers will find it fascinating as well.",https://github.com/BoltzmannEntropy/interviews.ai
website-legacy-aio,All-in-one Holy Unblocker bundle,https://github.com/holy-unblocker/website-legacy-aio
document.ai,基于向量数据库与GPT3.5的通用本地知识库方案(A universal local knowledge base solution based on vector database and GPT3.5),https://github.com/GanymedeNil/document.ai
wav2letter,Facebook AI Research's Automatic Speech Recognition Toolkit ,https://github.com/flashlight/wav2letter
AiEditor,AiEditor is a next-generation rich text editor for AI.,https://github.com/aieditor-team/AiEditor
midscene,Let AI be your browser operator.,https://github.com/web-infra-dev/midscene
TransmogrifAI,"TransmogrifAI (pronounced trăns-mŏgˈrə-fī) is an AutoML library for building modular, reusable, strongly typed machine learning workflows on Apache Spark with minimal hand-tuning",https://github.com/salesforce/TransmogrifAI
gitingest,Replace 'hub' with 'ingest' in any github url to get a prompt-friendly extract of a codebase ,https://github.com/cyclotruc/gitingest
AiNiee,一款专注于Ai翻译的工具，可以用来一键自动翻译RPG SLG游戏，Epub Word TXT小说，Srt Vtt Lrc字幕等等。,https://github.com/NEKOparapa/AiNiee
aiac,Artificial Intelligence Infrastructure-as-Code Generator.,https://github.com/gofireflyio/aiac
ai-code-translator,Use AI to translate code from one language to another.,https://github.com/mckaywrigley/ai-code-translator
AI,Repository for artificial intelligence programs. The programs in this repository will vary on the programming language and the subjects. The code is really neat and specific.,https://github.com/flovera1/AI
photoprism,AI-Powered Photos App for the Decentralized Web 🌈💎✨,https://github.com/photoprism/photoprism
AirChat,Free Communications For Everyone.,https://github.com/lulzlabs/AirChat
ai-fundamentals,Code samples for AI fundamentals,https://github.com/MicrosoftDocs/ai-fundamentals
airplay2-receiver,AirPlay 2 Receiver - Python implementation,https://github.com/openairplay/airplay2-receiver
ai-agents-masterclass,Follow along with my AI Agents Masterclass videos! All of the code I create and use in this series on YouTube will be here for you to use and even build on top of!,https://github.com/coleam00/ai-agents-masterclass
awful-ai,😈Awful AI is a curated list to track current scary usages of AI - hoping to raise awareness,https://github.com/daviddao/awful-ai
musegan,An AI for Music Generation,https://github.com/salu133445/musegan
AppFlowy,"Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The leading open source Notion alternative.",https://github.com/AppFlowy-IO/AppFlowy
krita-ai-diffusion,"Streamlined interface for generating images with AI in Krita. Inpaint and outpaint with optional text prompt, no tweaking required.",https://github.com/Acly/krita-ai-diffusion
simple-chess-ai,A simple chess AI,https://github.com/lhartikk/simple-chess-ai
system-prompts-and-models-of-ai-tools,,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools
vault-ai,"OP Vault ChatGPT: Give ChatGPT long-term memory using the OP Stack (OpenAI + Pinecone Vector Database). Upload your own custom knowledge base files (PDF, txt, epub, etc) using a simple React frontend.",https://github.com/pashpashpash/vault-ai
AirGuard,Protect yourself from being tracked 🌍 by AirTags 🏷 and Find My accessories 📍,https://github.com/seemoo-lab/AirGuard
uTensor,TinyML AI inference library,https://github.com/uTensor/uTensor
AIRAVAT,A multifunctional Android RAT with GUI based Web Panel without port forwarding.,https://github.com/Th30neAnd0nly/AIRAVAT
aibrix,Cost-efficient and pluggable Infrastructure components for GenAI inference,https://github.com/vllm-project/aibrix
civitai,"A repository of models, textual inversions, and more",https://github.com/civitai/civitai
GameAISDK,基于图像的游戏AI自动化框架,https://github.com/Tencent/GameAISDK
lab,A customisable 3D platform for agent-based AI research,https://github.com/google-deepmind/lab
ContosoAir,Source code repository for ContosoAir application ,https://github.com/microsoft/ContosoAir
AI-900-AIFundamentals,Includes labs for AI Fundamentals. ,https://github.com/MicrosoftLearning/AI-900-AIFundamentals
BotSharp,AI Multi-Agent Framework in .NET,https://github.com/SciSharp/BotSharp
ai-chatbot-framework,A python chatbot framework with Natural Language Understanding and Artificial Intelligence.,https://github.com/alfredfrancis/ai-chatbot-framework
EmbedAI,"An app to interact privately with your documents using the power of GPT, 100% privately, no data leaks",https://github.com/SamurAIGPT/EmbedAI
Reinforcement-learning-with-tensorflow,"Simple Reinforcement learning tutorials, 莫烦Python 中文AI教学",https://github.com/MorvanZhou/Reinforcement-learning-with-tensorflow
HivisionIDPhotos,⚡️HivisionIDPhotos: a lightweight and efficient AI ID photos tools. 一个轻量级的AI证件照制作算法。,https://github.com/Zeyi-Lin/HivisionIDPhotos
deeplearning.ai,Some work of Andrew Ng's course on Coursera,https://github.com/JudasDie/deeplearning.ai
marvin,✨ AI agents that spark joy,https://github.com/PrefectHQ/marvin
AI-Crash-Course,AI Crash Course to help busy builders catch up to the public frontier of AI research in 2 weeks,https://github.com/henrythe9th/AI-Crash-Course
awesome-ai-residency,List of AI Residency Programs,https://github.com/dangkhoasdc/awesome-ai-residency
Wechat_AutoJump,AI plays WeChat Jump Game,https://github.com/Prinsphield/Wechat_AutoJump
Awesome-AITools,Collection of AI-related utilities. Welcome to submit issues and pull requests /收藏AI相关的实用工具，欢迎提交issues 或者pull requests,https://github.com/ikaijua/Awesome-AITools
snake-ai,"An AI agent that beats the classic game ""Snake"".",https://github.com/linyiLYi/snake-ai
aifh,Artificial Intelligence for Humans,https://github.com/jeffheaton/aifh
AimRT,A high-performance runtime framework for modern robotics.,https://github.com/AimRT/AimRT
poker_ai,🤖 An Open Source Texas Hold'em AI,https://github.com/fedden/poker_ai
AiPy,Python机器学习、深度学习算法开发等学习资源分享,https://github.com/aialgorithm/AiPy
NeMo,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)",https://github.com/NVIDIA/NeMo
aiwallpaper,AI Wallpaper Generator,https://github.com/all-in-aigc/aiwallpaper
qrbtf,AI & parametric QR code generator. AI & 参数化二维码生成器。https://qrbtf.com,https://github.com/latentcat/qrbtf
deeplake,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",https://github.com/activeloopai/deeplake
lollms-webui,Lord of Large Language and Multi modal Systems Web User Interface,https://github.com/ParisNeo/lollms-webui
aide,The open-source AI-native IDE,https://github.com/codestoryai/aide
LayaAir,LayaAir is a fully platform rendering engine with rich 2D/3D rendering capabilities and a mature integrated development platform,https://github.com/layabox/LayaAir
generative-ai-docs,Documentation for Google's Gen AI site - including the Gemini API and Gemma,https://github.com/google/generative-ai-docs
pywit,Python library for Wit.ai,https://github.com/wit-ai/pywit
DeepBI,"LLM based data scientist, AI native data application.  AI-driven infinite thinking redefines BI.",https://github.com/DeepInsight-AI/DeepBI
awesome-apache-airflow,Curated list of resources about Apache Airflow,https://github.com/jghoman/awesome-apache-airflow
TavernAI,"Atmospheric adventure chat for AI language models (KoboldAI, NovelAI, Pygmalion, OpenAI chatgpt, gpt-4)",https://github.com/TavernAI/TavernAI
Deep-Learning-Coursera,"Deep Learning Specialization by Andrew Ng, deeplearning.ai.",https://github.com/enggen/Deep-Learning-Coursera
node-wit,Node.js SDK for Wit.ai,https://github.com/wit-ai/node-wit
dlcourse_ai,Материалы курса Deep Learning на пальцах,https://github.com/sim0nsays/dlcourse_ai
AirSLAM,🚀 AirVO upgrades to AirSLAM [TRO]🚀,https://github.com/sair-lab/AirSLAM
airbrake,The official Airbrake library for Ruby applications,https://github.com/airbrake/airbrake
fairseq-lua,Facebook AI Research Sequence-to-Sequence Toolkit,https://github.com/facebookresearch/fairseq-lua
aie-book,"[WIP] Resources for AI engineers. Also contains supporting materials for the book AI Engineering (Chip Huyen, 2025)",https://github.com/chiphuyen/aie-book
letta,Letta (formerly MemGPT) is a framework for creating LLM services with memory.,https://github.com/letta-ai/letta
open-ai,"OpenAI PHP SDK : Most downloaded, forked, contributed, huge community supported, and used PHP (Laravel , Symfony, Yii, Cake PHP or any PHP framework) SDK for OpenAI GPT-3 and DALL-E. It also supports chatGPT-like streaming. (ChatGPT AI is supported)",https://github.com/orhanerday/open-ai
AI,,https://github.com/StudioTV/AI
aidea-server,AIdea 是一款支持 GPT  以及国产大语言模型通义千问、文心一言等，支持 Stable Diffusion 文生图、图生图、 SDXL1.0、超分辨率、图片上色的全能型 APP。,https://github.com/mylxsw/aidea-server
aigcpanel,AigcPanel 是一个简单易用的一站式AI数字人系统，支持视频合成、声音合成、声音克隆，简化本地模型管理、一键导入和使用AI模型。,https://github.com/modstart-lib/aigcpanel
aima-exercises,Exercises for the book Artificial Intelligence: A Modern Approach,https://github.com/aimacode/aima-exercises
airtable.js,Airtable javascript client,https://github.com/Airtable/airtable.js
mesop,Rapidly build AI apps in Python,https://github.com/google/mesop
cognee,Reliable LLM Memory for AI Applications and AI Agents,https://github.com/topoteretes/cognee
pocketpal-ai,An app that brings language models directly to your phone.,https://github.com/a-ghorbani/pocketpal-ai
LLMs-in-Finance,LLMs in Finance - Generative AI - AI Agents ,https://github.com/hananedupouy/LLMs-in-Finance
fiftyone,Refine high-quality datasets and visual AI models,https://github.com/voxel51/fiftyone
AiQiangGUO,Ai强国 基于Autojs实现的模拟点击学习强国辅助工具 适配安卓,https://github.com/zhuxuedefeng/AiQiangGUO
Python-ai-assistant,Python AI assistant 🧠,https://github.com/ggeop/Python-ai-assistant
Girls-In-AI,免费学代码系列：小白python入门、数据分析data analyst、机器学习machine learning、深度学习deep learning、kaggle实战,https://github.com/girls-in-ai/Girls-In-AI
sharegpt,Easily share permanent links to ChatGPT conversations with your friends,https://github.com/domeccleston/sharegpt
Airplay-SDK,The Best Airplay SDK supports Airplay Mirroring and AirPlay Casting to a receiver device. ,https://github.com/xfirefly/Airplay-SDK
whatsapp-chatgpt,ChatGPT + DALL-E + WhatsApp = AI Assistant :rocket: :robot:,https://github.com/askrella/whatsapp-chatgpt
pyspur,AI Agent Builder in Python,https://github.com/PySpur-Dev/pyspur
airsonos,:musical_note: AirPlay to Sonos,https://github.com/stephen/airsonos
trustworthyAI,Trustworthy AI related projects,https://github.com/huawei-noah/trustworthyAI
ai2html,A script for Adobe Illustrator that converts your Illustrator artwork into an html page.,https://github.com/newsdev/ai2html
SWIFT-AI,A fast gigapixel processing system,https://github.com/liwenxi/SWIFT-AI
cortex.cpp,Local AI API Platform,https://github.com/janhq/cortex.cpp
x,Craft AI-driven interfaces effortlessly 🤖,https://github.com/ant-design/x
AIGenerateCode,Android谷歌上架马甲包垃圾代码混淆,https://github.com/520CCC/AIGenerateCode
AirPodsDesktop,"☄️ AirPods desktop user experience enhancement program, for Windows and Linux (WIP)",https://github.com/SpriteOvO/AirPodsDesktop
twitterbio,Generate your Twitter bio with AI,https://github.com/Nutlope/twitterbio
AI-on-the-edge-device,"Easy to use device for connecting ""old"" measuring units (water, power, gas, ...) to the digital world",https://github.com/jomjol/AI-on-the-edge-device
ai,Artificial Intelligence Fundamental Concepts,https://github.com/farrokhkarimi/ai
semantic-kernel,Integrate cutting-edge LLM technology quickly and easily into your apps,https://github.com/microsoft/semantic-kernel
Instagram-AI-Agent,"Instagram Ai Agent 🌸 is built using Node.js and TypeScript 🛠️, designed for seamless job execution 📸. It's lightweight, efficient, and still evolving 🚧—exciting new features coming soon! 🌟",https://github.com/David-patrick-chuks/Instagram-AI-Agent
